Feature1,Feature2,Outcome
2.882026172983832,1.6637697761120245,0
2.2000786041836116,1.8202234192297293,0
2.4893689920528694,1.593426858977773,0
3.120446599600729,1.1368586988341616,0
2.9337789950749835,2.088713071126876,0
1.5113610600617946,1.799109531895869,0
2.4750442087627946,1.1849008265169778,0
1.9243213958511511,2.2313911277628873,0
1.948390574103221,1.546350817808379,0
2.205299250969186,2.0259726978980694,0
2.072021785580439,2.3645452810887684,0
2.7271367534814877,2.0644914553787053,0
2.3805188625734965,2.5697003422716502,0
2.060837508246414,1.3825870898231738,0
2.221931616372713,2.2011708205887746,0
2.1668371636871333,1.6575949545298434,0
2.747039536578803,1.5646014254090592,0
1.8974208681170996,1.7105751676177923,0
2.1565338508254506,1.8442237339363137,0
1.5729521303491376,2.0280826711148725,0
0.7235050920829607,1.4174250796083219,0
2.3268092977201804,2.4504132434770938,0
2.432218099429753,2.23283121986523,0
1.628917489796779,1.2318781568613881,0
3.1348773119938036,2.7441260968977996,0
1.2728171627006177,2.9479445880152917,0
2.022879258650723,2.5893897855798254,0
1.906408074987083,1.9100375820938245,0
2.766389607179229,1.4646236892447289,0
2.7346793849501427,2.5272258634655684,0
2.077473712848458,1.7984115265134102,0
2.1890812598010867,2.6112225351912137,0
1.5561071261849437,2.1041374890384303,0
1.0096017658880365,2.4883195182418563,0
1.8260439253369236,2.178183198587201,0
2.07817448455199,2.353286584095974,0
2.6151453403638603,2.00525001036041,0
2.6011899243922056,2.8929352469529177,0
1.8063365912960239,2.06345604635181,0
1.8488486247123321,2.2009946817223507,0
1.4757235174664536,2.941575348528127,0
1.2899910314105125,1.3261204694287767,0
1.1468649046874937,1.364757500757133,0
2.975387697615895,2.4846983540790055,0
1.7451739091241731,1.41343829744292,0
1.7809628491944067,2.9718105928246463,0
1.373602319975037,1.7931905096201264,0
2.388745177915955,1.6262725942796212,0
1.1930510762210242,2.9614710132401925,0
1.8936298598930157,2.740257395717212,0
1.5522667194031623,2.933779480213285,0
2.193451248929631,2.4530223291376925,0
1.7445974312155634,1.5693871574726488,0
1.409683907938794,2.955032476549517,0
1.9859088858306726,1.8659983145243098,0
2.2141659352652088,2.4012281978981975,0
2.033258611191584,2.473625983886874,0
2.151235948869891,1.922494953454583,0
1.6828389531595183,2.30703968517304,0
1.818629417006431,2.4611033357832635,0
8.188212765577815,7.823003044373258,1
7.450299604707903,7.312524353290991,1
8.149119087103028,7.678190798583555,1
8.663192948343514,6.888298423887787,1
7.652716070134317,8.312615725513593,1
7.925182729836164,7.198971172196626,1
7.7824232241391815,7.447808330285775,1
8.924631864239672,8.026082539630487,1
8.336147378506217,7.630218501804343,1
8.203730918120556,8.771507297703367,1
7.615041962777342,7.3535715451382755,1
8.269624595645908,8.133525434674592,1
7.662833669671312,7.980358590886252,1
8.015915279137175,7.415953251129402,1
7.6820769608105595,8.261638330265876,1
8.33821664747325,7.9142268343888755,1
8.288295408307471,8.385895275606833,1
7.895850622211003,8.411752076981866,1
8.198003356330823,9.081617974640345,1
7.453469245634747,8.668263974718196,1
7.254371203647198,7.815409081028778,1
8.219695850632268,7.880310411212037,1
8.083336747686264,8.549829797943557,1
8.317515718446053,8.3276318653613,1
9.191572387431972,8.320065763048795,1
8.472239743495207,7.191521977844583,1
7.543588887277921,7.987836937800532,1
8.558508144047927,7.630984545397156,1
7.3420462947442395,8.139962299521619,1
7.769207697592646,7.950924805178521,1
7.965879197337684,8.455089454046297,1
8.856671360824683,8.158609107595652,1
7.62762258897578,8.393163981054489,1
7.586780730670493,7.766790451632028,1
7.950773737787284,7.527776872040874,1
7.6682608568189465,7.794975153398726,1
8.563317961053254,7.99148979306928,1
7.460034245818289,8.18957586777754,1
7.426265673794449,9.129654475345426,1
7.781089977627783,7.978871424169679,1
7.7509837746538475,7.522027499753611,1
8.964766026908492,7.827009112150307,1
8.47471040346288,7.768202012676953,1
8.043775620692596,8.240740736886732,1
7.387282240584916,7.229601492777688,1
8.422181488200774,8.031630997100166,1
7.4998923263052175,8.078253268982687,1
7.227614451611194,8.116090518100139,1
8.594014896176152,7.701341965517319,1
8.158471305962426,7.881039135131997,1
8.46042941189041,7.2879695455087345,1
8.15936382647151,7.753340058318903,1
8.428415305951345,7.728569261991641,1
7.674487203349926,8.208025023130713,1
7.482878579107767,7.421908784089044,1
8.340797259140814,8.390599050854997,1
7.598295167913079,8.747242272245684,1
7.6552251111249,6.965007487493233,1
7.772233748241328,8.213129365389051,1
8.008739579512529,8.338454017515122,1
